probe_id,gene,importance
202988_s_at,RGS1,0.5459985212171379
205478_at,PPP1R1A,0.4714723479252539
216834_at,RGS1,0.37904566655936434
201465_s_at,JUN,0.33339323030537826
37892_at,COL11A1,0.32177923577866313
205382_s_at,CFD,0.31405811286969243
209686_at,S100B,0.29951949781215714
219433_at,BCOR,0.2932759866871284
214456_x_at,SAA1 /// SAA2,0.2727808998357379
219140_s_at,RBP4,0.2535414066030181
214063_s_at,TF,0.25164611292786065
214677_x_at,IGLC1,0.24938977444109814
208383_s_at,PCK1,0.2427012587812408
204997_at,GPD1,0.23915607091061897
202890_at,MAP7,0.23388280523789032
209581_at,PLA2G16,0.22758526852330746
209298_s_at,ITSN1,0.2177364265047659
201650_at,KRT19,0.214200475936901
206243_at,TIMP4,0.21133492738458734
221024_s_at,SLC2A10,0.20475496088854098
215379_x_at,IGLV1-44,0.19891553669968215
212886_at,CCDC69,0.18970589834583365
204415_at,IFI6,0.18655347300797104
202931_x_at,BIN1,0.18577269493548645
218168_s_at,ADCK3,0.17291067183261427
211745_x_at,HBA1 /// HBA2,0.17272454127593073
210964_s_at,GYG2,0.17236842550303252
212112_s_at,STX12,0.17016396239507853
204719_at,ABCA8,0.1673729372960168
202768_at,FOSB,0.16691853508931048
214439_x_at,BIN1,0.16678296992239702
218087_s_at,SORBS1,0.15697973062364545
201005_at,CD9,0.15658122941695038
203740_at,MPHOSPH6,0.15288149820672164
221009_s_at,ANGPTL4,0.15100269571497257
213071_at,DPT,0.150070601294394
201131_s_at,CDH1,0.14721066682030787
201450_s_at,TIA1,0.14360200390715144
208789_at,PTRF,0.13852197343747907
212741_at,MAOA,0.1376855923562967
209612_s_at,ADH1B,0.13528031398154497
266_s_at,CD24,0.13368875612769518
204326_x_at,MT1X,0.13325361726968288
219738_s_at,PCDH9,0.1297383276141111
209602_s_at,GATA3,0.1266591721872833
217028_at,CXCR4,0.12332336574308686
221928_at,ACACB,0.12295712717604858
213364_s_at,SNX1,0.12206732506548074
201839_s_at,EPCAM,0.11372543932298741
209555_s_at,CD36,0.11330204814233867
211653_x_at,AKR1C2 /// LOC101930400,0.10920197463559983
210046_s_at,IDH2,0.10857023650798575
204731_at,TGFBR3,0.10583799252166703
210201_x_at,BIN1,0.10568789653282983
209616_s_at,CES1 /// LOC100653057,0.1050827736997754
209603_at,GATA3,0.10229275648375574
213693_s_at,MUC1,0.10171663932692505
206030_at,ASPA,0.09955430902792367
213933_at,PTGER3,0.0990582645736954
209116_x_at,HBB,0.09899356753202374
218934_s_at,HSPB7,0.09880528880538418
203548_s_at,LPL,0.09601522630073073
211933_s_at,HNRNPA3 /// HNRNPA3P1,0.09346586514170359
213605_s_at,213605_s_at,0.09300124537240927
205610_at,MYOM1,0.09146025459748704
204848_x_at,HBG1 /// HBG2,0.09098412866382949
201242_s_at,ATP1B1,0.09057500315333543
204159_at,CDKN2C,0.0894091458701965
209771_x_at,CD24,0.08860973998993958
201340_s_at,ENC1,0.08672592715227669
