rank,feature_name,f_score
70,205478_at,74.12758272512025
33,202988_s_at,70.67489015310572
72,205610_at,65.20199251094557
191,266_s_at,61.97445211198774
197,43427_at,61.421096593915756
189,222317_at,60.88267583230956
183,221009_s_at,60.00962089901243
17,201650_at,59.66372219470854
175,219140_s_at,57.97461879486578
198,49452_at,57.84823148040217
21,201839_s_at,57.15683889145829
176,219295_s_at,56.76871761479849
120,210964_s_at,56.59797403729483
74,205824_at,55.93003519263739
168,218237_s_at,53.954533652065145
9,201286_at,52.74389449499706
25,202286_s_at,52.18172752970522
152,214456_x_at,51.91738021798094
177,219398_at,49.44745593485041
165,218087_s_at,49.44445048033904
113,209771_x_at,49.05678030566845
67,205220_at,48.62823176915698
181,219738_s_at,48.56992858425915
129,212741_at,48.438105717312766
103,209602_s_at,47.97797739475424
117,210298_x_at,47.73049013833197
84,208510_s_at,47.71581659208418
56,204388_s_at,47.335775209700344
166,218168_s_at,47.14146423615457
162,217028_at,46.95261823795111
188,221928_at,46.81634055688468
144,213693_s_at,45.96604091437188
110,209686_at,45.35912369612031
116,210201_x_at,44.860065115344916
180,219737_s_at,44.5221673316106
66,204997_at,43.77496562093882
16,201596_x_at,43.75181648334402
133,213068_at,43.47956827545471
41,203548_s_at,43.313865166167865
156,215695_s_at,43.26241290552712
6,201131_s_at,42.97694511112323
150,214414_x_at,42.71235012330984
81,207092_at,42.63384070144803
195,37117_at,42.58672021165381
134,213071_at,42.1967196689983
75,205913_at,42.18545084773237
8,201243_s_at,41.43828438432697
160,216834_at,41.31537536981723
148,214063_s_at,41.20335939417086
158,216379_x_at,41.196828769235125
126,212281_s_at,40.90795284624715
69,205382_s_at,40.71928982304173
125,212112_s_at,40.064717813353056
157,216331_at,39.87547712757231
79,206243_at,39.868015506512286
108,209614_at,39.01602347327372
161,216894_x_at,38.863535471249854
59,204570_at,38.78993573035271
82,207175_at,38.68983729951484
111,209699_x_at,38.35990099572755
104,209603_at,38.348061686136646
167,218186_at,38.317250915115146
43,203571_s_at,37.91787817447513
174,219064_at,37.6844600005514
93,209183_s_at,37.36910433725938
182,220061_at,37.27722402395436
45,203812_at,37.21968101108604
46,203853_s_at,37.18740883356438
61,204719_at,36.57710272736749
171,218723_s_at,35.992479510914634
65,204894_s_at,35.797997632045664
49,203980_at,35.38740652968152
13,201450_s_at,35.37201177858771
1,1007_s_at,35.114771866028924
42,203549_s_at,34.97434884008939
102,209581_at,34.83705731937155
2,200606_at,33.920879924942994
39,203435_s_at,33.82969367919675
51,204134_at,33.389868948343455
199,58780_s_at,33.36033721145826
34,203065_s_at,33.30204722588527
119,210715_s_at,33.30165547483981
97,209493_at,33.19338908354866
151,214439_x_at,33.16904564693589
32,202931_x_at,33.10920674170402
4,200944_s_at,33.014925078587595
53,204159_at,32.77753583359382
121,211653_x_at,32.63676105127489
52,204151_x_at,32.401850182984525
187,221748_s_at,32.2538839276809
172,218736_s_at,32.19814518928121
54,204223_at,32.17823278398483
83,208383_s_at,31.633906673520105
193,33322_i_at,31.588516299447765
145,213706_at,31.502132727863316
23,201952_at,31.433503203296745
36,203323_at,31.332147011522476
35,203215_s_at,31.261763676344376
62,204731_at,31.23010100277117
19,201690_s_at,31.193858325736823
186,221747_at,31.18469056380544
142,213524_s_at,31.16687646630622
68,205303_at,30.86829197448331
63,204825_at,30.81052338009488
37,203358_s_at,30.739222189490697
64,204848_x_at,30.60123009904879
170,218677_at,30.57507758563783
71,205498_at,30.458082368816193
95,209298_s_at,30.407185812869223
24,202071_at,30.368461933710414
60,204653_at,30.348216666807254
40,203476_at,30.291638882052645
155,215379_x_at,30.28750087704555
50,204042_at,30.187763569993677
153,214505_s_at,30.16292857774369
132,213005_s_at,30.084954957964115
11,201348_at,30.08410911757149
137,213348_at,30.08376396557356
101,209555_s_at,30.004279975236358
105,209604_s_at,29.633269137228773
80,206488_s_at,29.521001230930107
12,201417_at,29.4085780609086
86,208651_x_at,29.321564632773704
76,205968_at,29.314388680578837
112,209763_at,29.23532872469844
178,219433_at,29.183599477255044
159,216594_x_at,29.163640175873503
90,209016_s_at,29.12604915134791
5,201005_at,28.947112229746267
184,221024_s_at,28.854733476983892
96,209458_x_at,28.550409879635858
18,201664_at,28.379559024023926
73,205709_s_at,28.23865550803167
123,211745_x_at,28.17448089191517
190,222351_at,28.106032554216014
115,210078_s_at,28.042400957484737
88,208789_at,27.93225306903736
98,209496_at,27.83949333494178
44,203740_at,27.820440122822514
